Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Fire Department,FY25 Fire Equipment,Purchase new engines and ladders for Boston Fire.,Boston Fire Department,Implementation Underway,Citywide,4000000,0,0,0,0,0,0,1750791,2249209,0,0,0,0,0,0,4000000
Environment Department,Border Street Resilience,Plan a resilient coastal solution for Border Street in East Boston.,Environment Department,Study Underway,East Boston,500000,0,0,0,1000000,0,0,150000,100000,250000,0,0,600000,400000,0,1500000
Public Works Department,Long Island Bridge,Construct a new bridge from Moon Island to Long Island.,Public Works Department,In Design,Harbor Islands,50000000,0,58758144,0,0,0,0,0,1000000,107758144,0,0,0,0,0,108758144
Transportation Department,Traffic Signal Communications Improvements,Install fiber optic cable and replaces existing traffic controller units at 104 intersections to improve signal management.,Transportation Department,New Project,Citywide,1880000,0,0,0,0,0,0,300000,1200000,380000,0,0,0,0,0,1880000
Transportation Department,Lafayette Garage Repairs,Perform assessment and repairs to the Lafayette Garage.,Public Facilities Department,New Project,Downtown/Government Center,0,0,0,0,850000,0,0,0,0,0,0,0,125000,725000,0,850000
Fire Department,Exterior Repairs at Various Stations,"Repair aprons and exterior work at Engine stations 28, 9, 39, 4, and 10.",Public Facilities Department,New Project,Multiple Neighborhoods,0,375000,0,0,0,0,0,0,50000,325000,0,0,0,0,0,375000
Fire Department,Engine 21 Retaining Wall,Repair granite block retaining wall at Engine 21.,Public Facilities Department,New Project,Dorchester,0,1000000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Fire Department,Emergency Generator Replacement,"Design and engineering for the replacement of backup generators at Engines 7, 16, 22, and 28.",Public Facilities Department,New Project,Multiple Neighborhoods,0,360000,0,0,0,0,0,0,50000,310000,0,0,0,0,0,360000
Fire Department,Fuel Pump Tank Replacement,Replace fuel tanks at various fire stations.,Public Facilities Department,New Project,Citywide,0,720000,0,0,0,0,0,0,50000,670000,0,0,0,0,0,720000
Fire Department,Roof Replacements at Various Stations,"Engineering and design for the replacing roofs at Engine 8, Engine 30, and Maintenance (small car shop).",Public Facilities Department,New Project,Multiple Neighborhoods,0,1000000,0,0,0,0,0,0,250000,750000,0,0,0,0,0,1000000
Boston Planning and Development Agency,Long Wharf Resilience Solutions,Study and design of the entirety of an immediate flood pathway from North End to East India Row in the Downtown/North End neighborhoods. This is an expansion of the ongoing resilience work at Long Wharf.,Boston Planning and Development Agency,New Project,Downtown/Government Center,0,3000000,0,0,0,0,0,0,400000,2600000,0,0,0,0,0,3000000
Parks and Recreation Department,Franklin Park Circuit Drive Safety Improvements,Design safety and stormwater improvements for Circuit Drive.,Parks and Recreation Department,New Project,Roxbury,0,0,0,500000,0,0,0,0,0,0,0,0,75000,425000,0,500000
Parks and Recreation Department,Franklin Park Dog Park,Site selection and design documents for a dog recreation space and tennis facilities in Franklin Park.,Parks and Recreation Department,New Project,Roxbury,0,0,0,50000,0,0,0,0,0,0,0,0,50000,0,0,50000
Parks and Recreation Department,Franklin Park Peabody Circle,"Design improvements to Peabody Circle that create a welcoming and functional park entrance that coordinates with ZNE, and the Blue Hill Ave. and Columbia Road Transportation Action Plans.",Parks and Recreation Department,New Project,Roxbury,0,0,0,300000,0,0,0,0,0,0,0,0,50000,250000,0,300000
Parks and Recreation Department,Boston Common Mayor's Walk,"Design and construct a mid-block crossing on Charles Street at the Mayor's Walk to restore and clarify park edges and entrances, and improve Mayor's Walk surface, seating, and drainage.",Parks and Recreation Department,New Project,Beacon Hill,0,0,0,1420000,0,0,0,0,0,0,0,0,100000,1320000,0,1420000
Parks and Recreation Department,Boston Common Parkman Bandstand,"Design and construct improvements to the stone masonry and metal railings, and install an accessible ramp to create ADA access.",Parks and Recreation Department,New Project,Beacon Hill,0,0,0,1860000,0,0,0,0,0,0,0,0,75000,1785000,0,1860000
Parks and Recreation Department,Ronan Park Wall Repair,Rebuild the wall on the southern property line.,Parks and Recreation Department,New Project,Dorchester,0,500000,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000
Parks and Recreation Department,Harambee Park Phase 5,"Design and construct improvements to the netball court with fencing, build a tennis court, and separate sewer and drain lines as required by BWSC.",Parks and Recreation Department,New Project,Dorchester,0,1510000,0,0,0,0,0,0,0,1510000,0,0,0,0,0,1510000
Parks and Recreation Department,Doherty Park Accessibility Improvements,Design a welcoming and accessible pedestrian plaza on Bunker Hill Street.,Parks and Recreation Department,New Project,Charlestown,0,150000,0,0,0,0,0,0,0,150000,0,0,0,0,0,150000
Parks and Recreation Department,McLaughlin Playground,"Design improvements to the play area, basketball court, plaza, accessible pathways, and fields.",Parks and Recreation Department,New Project,Mission Hill,0,300000,0,0,0,0,0,0,0,300000,0,0,0,0,0,300000
Parks and Recreation Department,Porzio Park Play Area,Design improvements to the play area and splash pad.,Parks and Recreation Department,New Project,East Boston,0,200000,0,0,0,0,0,0,0,200000,0,0,0,0,0,200000
Parks and Recreation Department,Mozart Park Playground & Art Setting,Design improvements to the play area and site permanent location for proposed artwork.,Parks and Recreation Department,New Project,Jamaica Plain,0,170000,0,0,0,0,0,0,0,170000,0,0,0,0,0,170000
Parks and Recreation Department,Trotter School Park Playground,"Design improvements to the play area, basketball courts, and gateway.",Parks and Recreation Department,New Project,Roxbury,0,165000,0,0,0,0,0,0,0,165000,0,0,0,0,0,165000
